1,8,58
92,10,58
1,8,56
92,10,56
1,8,54
92,10,54
1,8,52
92,10,52
1,8,50
91,10,50
1,8,48
92,10,48
72,8,46
91,10,46
72,8,44
92,10,44
72,8,42
91,10,42
72,8,40
92,10,40
72,8,38
91,10,38
72,8,36
92,10,36
77,15,36
98,20,36
72,8,34
91,10,34
73,13,34
77,15,34
94,18,34
98,20,34
72,8,32
92,10,32
73,13,32
75,14,32
77,15,32
94,18,32
96,19,32
98,20,32
71,8,30
91,10,30
73,13,30
75,14,30
77,15,30
94,18,30
96,19,30
98,20,30
72,8,28
92,10,28
73,13,28
75,14,28
77,15,28
94,18,28
96,19,28
98,20,28
71,8,26
91,10,26
73,13,26
75,14,26
77,15,26
94,18,26
96,19,26
98,20,26
72,8,24
92,10,24
73,13,24
75,14,24
77,15,24
94,18,24
96,19,24
98,20,24
71,8,22
92,10,22
74,13,22
75,14,22
77,15,22
94,18,22
96,19,22
98,20,22
72,8,20
92,10,20
74,13,20
75,14,20
77,15,20
94,18,20
96,19,20
98,20,20
71,8,18
92,10,18
74,13,18
75,14,18
77,15,18
94,18,18
96,19,18
97,20,18
72,8,16
92,10,16
74,13,16
76,14,16
78,15,16
94,18,16
95,19,16
97,20,16
71,8,14
92,10,14
74,13,14
76,14,14
78,15,14
94,18,14
95,19,14
97,20,14
72,8,12
1,10,12
74,13,12
76,14,12
77,15,12
93,18,12
95,19,12
97,20,12
1,22,12
1,24,12
71,8,10
1,10,10
74,13,10
76,14,10
78,15,10
93,18,10
95,19,10
97,20,10
1,22,10
1,24,10
72,8,8
1,10,8
74,13,8
76,14,8
78,15,8
93,18,8
95,19,8
97,20,8
1,22,8
1,23,8
1,24,8
72,8,6
1,10,6
74,13,6
76,14,6
78,15,6
84,16,6
93,18,6
95,19,6
97,20,6
1,22,6
1,23,6
1,24,6
1,2,4
72,8,4
81,9,4
1,10,4
74,13,4
76,14,4
78,15,4
83,16,4
93,18,4
95,19,4
97,20,4
1,22,4
1,23,4
1,24,4
1,2,2
72,8,2
80,9,2
1,10,2
74,13,2
76,14,2
78,15,2
82,16,2
93,18,2
95,19,2
97,20,2
1,22,2
1,23,2
1,24,2
